text,category,priority
Encroachment in Village Kalan public park area,Parks,Medium
Expired medicines given at Mohalla 7 clinic,Healthcare,Medium
Dirty drain causing disease spread in Sector 5,Sanitation,Critical
No boundary wall in Sector 5 school,Education,Low
Construction dust affecting Puram Extension residents,Construction,Low
Sewage overflow on Station Road street near Colony B,Sanitation,Medium
Stray dogs near garbage dump in Mohalla 7,Sanitation,High
Road waterlogged after rain near Puram Extension,Road,High
Stray dogs near garbage dump in Sector 5,Sanitation,High
Dirty brown water coming from tap in Block 3,Water,High
No street lights on dark Market Street lane,Electricity,High
Construction blocking entrance to Colony B school,Construction,Medium
Park walls have graffiti in Puram Extension,Parks,Low
Chain snatching incidents in Nagar Panchayat area,Safety,Critical
Garbage burning near Puram Extension school,Sanitation,Medium
Park occupied by illegal vendors in Town Area,Parks,Low
Park pathway broken and dangerous in Village Kalan,Parks,Low
Road waterlogged after rain near Village Kalan,Road,Medium
Dead animals not removed from Station Road,Sanitation,Low
No doctors available at PHC in Town Area for 14 days,Healthcare,Critical
Hospital building in bad condition in Sector 5,Healthcare,Medium
Trees fallen in Colony B park after storm,Parks,Medium
Park pathway broken and dangerous in Zone 4,Parks,Low
Scholarship money not distributed in Zone 4,Education,High
Dirty drain causing disease spread in Mohalla 7,Sanitation,High
Long queues at Village Kalan government dispensary,Healthcare,Critical
No street lights on dark Temple Road lane,Electricity,Medium
Hospital ward overcrowded in Nagar Panchayat,Healthcare,Medium
Street harassment near Village Kalan school daily,Safety,Medium
Traffic signals not working on Temple Road,Transport,Medium
No bus shelter at Block 3 bus stop,Transport,High
Night watchman absent from Ward 12,Safety,High
Mid-day meal not provided in Mohalla 7 school,Education,Medium
Bus routes reduced suddenly in Ward 12,Transport,Low
Drug dealing happening in Ward 12 park,Safety,Medium
Demolition without safety measures in Ward 12,Construction,Medium
Transformer blew up near Town Area market,Electricity,High
Construction debris on footpath on MG Road,Construction,Low
Park fountains not working in Zone 4,Parks,Low
No maintenance of Ward 12 garden since 10 days,Parks,Low
Footpath broken and dangerous for walkers near Puram Extension,Road,High
No drinking water in Ward 12 park,Parks,Low
Construction noise during night hours in Ward 12,Construction,Low
Garbage dump near Town Area residential area,Sanitation,Medium
Electricity bill error for Zone 4 residents,Electricity,Medium
No ASHA worker in Zone 4 area since 14 days,Healthcare,High
Power outage in Zone 4 colony since morning,Electricity,Low
Playground equipment damaged in Colony B park,Parks,Medium
No footpath for pedestrians on Ring Road,Transport,Low
No bus shelter at Sector 5 bus stop,Transport,High
No drinking water in Colony B park,Parks,Medium
Bridge has cracks need urgent repair on Station Road,Road,High
Footpath broken and dangerous for walkers near Town Area,Road,Medium
Government hospital lacks medicines in Ward 12,Healthcare,High
Footpath broken and dangerous for walkers near Ward 12,Road,Medium
Construction debris on footpath on Main Bazaar,Construction,Medium
Garbage not collected for 5 days in Colony B,Sanitation,Low
Women safety issues at Town Area bus stop,Safety,High
No security guard in Village Kalan park,Parks,Low
Illegal water connection in Puram Extension,Water,Critical
Bins not emptied since last week in Sector 5,Sanitation,Critical
Expired medicines given at Mohalla 7 clinic,Healthcare,Medium
Dirty conditions in Nagar Panchayat government hospital,Healthcare,Critical
Scholarship money not distributed in Ward 12,Education,Low
CCTV cameras vandalized near Town Area,Safety,Medium
Rowdy elements troubling residents of Mohalla 7,Safety,High
Expired medicines given at Mohalla 7 clinic,Healthcare,High
Road dividers removed illegally on Market Street,Transport,Low
Stray dogs near garbage dump in Town Area,Sanitation,Medium
Construction work damaging water pipeline in Zone 4,Construction,Low
Overloaded vehicles causing accidents on MG Road,Transport,Low
Street harassment near Block 3 school daily,Safety,Critical
Power outage in Sector 5 colony since morning,Electricity,High
Power outage in Puram Extension colony since morning,Electricity,Low
Dirty brown water coming from tap in Colony B,Water,Medium
Traffic signals not working on Market Street,Transport,Low
CCTV cameras vandalized near Sector 5,Safety,Medium
No toilets in Puram Extension government school,Education,Low
Playground equipment damaged in Colony B park,Parks,Medium
School roof leaking during rain in Village Kalan,Education,Medium
Open drain overflowing near Sector 5 homes,Sanitation,High
Suspicious activity near ATM in Zone 4,Safety,High
Water supply disrupted since 5 days,Water,Critical
Electric poles damaged after storm near Puram Extension,Electricity,Low
Drain blocked for 2 days in Ward 12,Sanitation,Medium
Power cut every day in Block 3 for 21 hours,Electricity,Medium
Computer lab non-functional in Zone 4 school,Education,High
Health worker absent from Colony B since 7 days,Healthcare,Critical
No toilets in Colony B government school,Education,High
Suspicious activity near ATM in Colony B,Safety,Critical
Library books damaged in Village Kalan school,Education,High
Transformer blew up near Colony B market,Electricity,High
Power cut every day in Colony B for 2 hours,Electricity,Low
Power cut every day in Colony B for 30 hours,Electricity,Low
Bins not emptied since last week in Nagar Panchayat,Sanitation,Critical
Illegal construction blocking Station Road in Colony B,Construction,Low
Security cameras not working in Village Kalan market,Safety,Critical
Transformer blew up near Sector 5 market,Electricity,Low
Underground water leakage on Temple Road,Water,High
Building violating height norms in Colony B,Construction,High
No water pressure in building in Nagar Panchayat,Water,High
Unauthorized extension built in Sector 5,Construction,High
Dirty conditions in Puram Extension government hospital,Healthcare,Critical
Water pipe burst on MG Road flooding the street,Water,Critical
Construction noise during night hours in Mohalla 7,Construction,Medium
Illegal liquor shop operating openly in Block 3,Safety,Critical
Expired medicines given at Sector 5 clinic,Healthcare,Critical
Teachers absent regularly from Mohalla 7 school,Education,Medium
Gambling den operating in Village Kalan,Safety,Critical
Road encroachment by shops on School Lane,Road,Critical
Speed breaker damaged on MG Road highway,Road,Critical
Sewage overflow on Hospital Road street near Zone 4,Sanitation,Low
Police not patrolling Ward 12 area since 10 days,Safety,High
Unsafe scaffolding near MG Road,Construction,Medium
Teachers absent regularly from Zone 4 school,Education,Low
Scholarship money not distributed in Village Kalan,Education,High
No power supply during festival in Colony B,Electricity,Medium
Construction work damaging water pipeline in Town Area,Construction,Low
Road is completely broken near Ward 12 since 14 days,Road,High
No bus shelter at Sector 5 bus stop,Transport,Low
No street lights on dark Hospital Road lane,Electricity,High
Road is completely broken near Block 3 since 21 days,Road,High
Expired medicines given at Block 3 clinic,Healthcare,Critical
Building under construction without permit in Puram Extension,Construction,Medium
Lights flickering in Mohalla 7 residential area,Electricity,Low
Street harassment near Mohalla 7 school daily,Safety,Critical
Park pathway broken and dangerous in Village Kalan,Parks,Low
Sewage mixing with drinking water in Block 3,Water,Critical
Untrained teachers in Town Area primary school,Education,Medium
Garbage dump near Sector 5 residential area,Sanitation,High
Road construction debris not cleared near Sector 5,Road,Low
Waste collection vehicle not coming to Colony B,Sanitation,High
Bins not emptied since last week in Ward 12,Sanitation,Critical
Electric poles damaged after storm near Nagar Panchayat,Electricity,Medium
Illegal parking blocking Main Bazaar in Puram Extension,Transport,Medium
Grass not trimmed in Colony B public garden,Parks,Low
School roof leaking during rain in Mohalla 7,Education,Low
Unsafe scaffolding near MG Road,Construction,Low
Bins not emptied since last week in Colony B,Sanitation,Critical
Water pipe burst on Market Street flooding the street,Water,Critical
Overloaded vehicles causing accidents on School Lane,Transport,Medium
Grass not trimmed in Town Area public garden,Parks,Low
Divider damaged on Market Street main street,Road,Low
Illegal electrical connections spotted in Zone 4,Electricity,Low
Encroachment in Puram Extension public park area,Parks,Low
No electricity for 21 days in Nagar Panchayat,Electricity,High
Encroachment in Ward 12 public park area,Parks,Low
Unmarked speed breaker causing accidents on Hospital Road,Road,Medium
No ambulance available in Block 3,Healthcare,Critical
Auto drivers overcharging passengers in Sector 5,Transport,Low
School roof leaking during rain in Mohalla 7,Education,Low
High voltage wire hanging low on Station Road,Electricity,High
E-rickshaw causing traffic jam in Block 3,Transport,Low
Road encroachment by shops on Station Road,Road,High
Park walls have graffiti in Zone 4,Parks,Low
No security guard in Colony B park,Parks,Low
No street lights on dark Main Bazaar lane,Electricity,High
Expired medicines given at Town Area clinic,Healthcare,High
Expired medicines given at Sector 5 clinic,Healthcare,Critical
Speed breaker damaged on Market Street highway,Road,Critical
Road waterlogged after rain near Nagar Panchayat,Road,Medium
Drain blocked for 5 days in Block 3,Sanitation,High
Anganwadi center closed for 14 days in Town Area,Education,Low
Underground water leakage on Market Street,Water,Medium
Road dividers removed illegally on Hospital Road,Transport,Low
No ambulance available in Block 3,Healthcare,High
Illegal water connection in Town Area,Water,Critical
No water pressure in building in Block 3,Water,High
School missing benches for students in Village Kalan,Education,Medium
Anganwadi center closed for 2 days in Village Kalan,Education,Medium
Garbage not collected for 5 days in Zone 4,Sanitation,Low
No road markings visible at night on MG Road,Road,High
Garbage not collected for 5 days in Puram Extension,Sanitation,Medium
Street lights not working on Temple Road since 14 days,Electricity,Low
Water pipe burst on Market Street flooding the street,Water,High
Untrained teachers in Mohalla 7 primary school,Education,High
