feedback_text,sentiment,rating,category,ward
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Electricity,Ward 17
"Construction noise at midnight, residents suffering",NEGATIVE,1,Parks,Ward 41
Public toilet construction tender has been floated,NEUTRAL,3,Public Safety,Ward 34
Water pipeline replacement work in progress,NEUTRAL,3,Electricity,Ward 8
"Complained 10 times about potholes, zero response",NEGATIVE,2,Transport,Ward 6
Project started but no updates for 6 months,NEGATIVE,2,Roads,Ward 24
Work order issued for pothole repair,NEUTRAL,3,Public Safety,Ward 14
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Transport,Ward 23
"Water supply has improved a lot in our area, thank you",POSITIVE,4,Sanitation,Ward 41
Survey completed for new drainage line,NEUTRAL,3,Electricity,Ward 32
"Complained 10 times about potholes, zero response",NEGATIVE,1,Roads,Ward 48
Survey completed for new drainage line,NEUTRAL,3,Public Safety,Ward 43
"Sewage line blocked for months, unbearable smell",NEGATIVE,2,Construction,Ward 14
"Complained 10 times about potholes, zero response",NEGATIVE,2,Parks,Ward 49
Drainage cleaning drive happening next week,NEUTRAL,3,Construction,Ward 50
Street light maintenance scheduled for this weekend,NEUTRAL,3,Roads,Ward 28
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Healthcare,Ward 13
"Complaint registered, under review by department",NEUTRAL,3,Construction,Ward 45
Survey completed for new drainage line,NEUTRAL,3,Water,Ward 11
Project completion date extended by two months,NEUTRAL,3,Water,Ward 47
"Contractor used substandard materials, work failing",NEGATIVE,1,Construction,Ward 41
Road repair work is ongoing in our sector,NEUTRAL,3,Healthcare,Ward 17
Happy with the prompt response from civic authorities,POSITIVE,4,Healthcare,Ward 43
Project started but no updates for 6 months,NEGATIVE,1,Electricity,Ward 13
"The government responded quickly to our complaint, well done",POSITIVE,4,Healthcare,Ward 6
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Roads,Ward 19
Bridge inspection scheduled for next week,NEUTRAL,3,Construction,Ward 43
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Water,Ward 29
"Park renovation looks beautiful, children love it",POSITIVE,4,Roads,Ward 19
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Construction,Ward 27
"Park renovation looks beautiful, children love it",POSITIVE,4,Sanitation,Ward 33
Project started but no updates for 6 months,NEGATIVE,2,Roads,Ward 30
Bridge inspection scheduled for next week,NEUTRAL,3,Water,Ward 31
Public toilet construction tender has been floated,NEUTRAL,3,Construction,Ward 49
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Transport,Ward 44
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Parks,Ward 20
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Sanitation,Ward 1
New hospital wing is a great addition to our area,POSITIVE,4,Public Safety,Ward 29
"Government hospital has no medicines, pathetic service",NEGATIVE,2,Electricity,Ward 25
"Government hospital has no medicines, pathetic service",NEGATIVE,1,Sanitation,Ward 17
Traffic signal upgrade project is under review,NEUTRAL,3,Transport,Ward 35
Environmental clearance received for park project,NEUTRAL,3,Construction,Ward 7
The bridge repair was done with high quality materials,POSITIVE,4,Education,Ward 11
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Transport,Ward 48
"Road marking done properly, reduces accidents at night",POSITIVE,4,Education,Ward 28
"Water pipe burst causing damage, no immediate action",NEGATIVE,1,Transport,Ward 39
"Street lights broken since 2 months, no action taken",NEGATIVE,1,Parks,Ward 12
The construction work was neat and professional,POSITIVE,4,Public Safety,Ward 37
"Quick action taken on our pothole complaint, impressed",POSITIVE,4,Public Safety,Ward 20
"Park renovation looks beautiful, children love it",POSITIVE,4,Healthcare,Ward 17
Road repair work is ongoing in our sector,NEUTRAL,3,Electricity,Ward 41
"Water quality has improved, no more complaints from residents",POSITIVE,4,Healthcare,Ward 40
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Healthcare,Ward 42
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Healthcare,Ward 41
"Contractor used substandard materials, work failing",NEGATIVE,2,Water,Ward 27
Construction of new school building underway,NEUTRAL,3,Transport,Ward 31
Road dug up for pipeline but not restored for months,NEGATIVE,2,Transport,Ward 30
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Transport,Ward 24
The contractor did excellent work on the drainage project,POSITIVE,4,Parks,Ward 33
Road marking work will start after monsoon,NEUTRAL,3,Public Safety,Ward 14
The construction work was neat and professional,POSITIVE,4,Construction,Ward 14
Project completion date extended by two months,NEUTRAL,3,Electricity,Ward 28
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Education,Ward 45
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Electricity,Ward 33
Drainage cleaning drive happening next week,NEUTRAL,3,Sanitation,Ward 45
"The government responded quickly to our complaint, well done",POSITIVE,4,Roads,Ward 29
Road widening project completed ahead of schedule,POSITIVE,5,Education,Ward 36
Public toilets are now clean and well maintained,POSITIVE,4,Parks,Ward 32
"Water pipe burst causing damage, no immediate action",NEGATIVE,1,Construction,Ward 1
"Park facilities broken, children getting hurt",NEGATIVE,1,Construction,Ward 39
Survey completed for new drainage line,NEUTRAL,3,Transport,Ward 49
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Transport,Ward 8
"Water quality has improved, no more complaints from residents",POSITIVE,4,Electricity,Ward 37
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Electricity,Ward 20
"Sewage line blocked for months, unbearable smell",NEGATIVE,1,Transport,Ward 44
"Road marking done properly, reduces accidents at night",POSITIVE,5,Healthcare,Ward 7
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Transport,Ward 47
Happy with the prompt response from civic authorities,POSITIVE,5,Water,Ward 47
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Sanitation,Ward 27
Garbage collection timings have been changed to morning,NEUTRAL,3,Water,Ward 37
Road repair work is ongoing in our sector,NEUTRAL,3,Healthcare,Ward 45
Electricity department working on transformer upgrade,NEUTRAL,3,Parks,Ward 27
"Government hospital has no medicines, pathetic service",NEGATIVE,1,Water,Ward 47
The construction work was neat and professional,POSITIVE,4,Healthcare,Ward 27
"Bus frequency has increased, commuting is easier",POSITIVE,4,Healthcare,Ward 29
Power outage scheduled for maintenance work,NEUTRAL,3,Roads,Ward 22
"Contractor used substandard materials, work failing",NEGATIVE,1,Parks,Ward 43
Electricity cut for 3 days without any information,NEGATIVE,2,Electricity,Ward 9
Bridge inspection scheduled for next week,NEUTRAL,3,Roads,Ward 35
"Road marking done properly, reduces accidents at night",POSITIVE,5,Roads,Ward 19
Project completion date extended by two months,NEUTRAL,3,Transport,Ward 45
"Street lights broken since 2 months, no action taken",NEGATIVE,1,Electricity,Ward 47
Solar street lights are a wonderful initiative,POSITIVE,4,Transport,Ward 11
Happy with the prompt response from civic authorities,POSITIVE,4,Education,Ward 24
Electricity department working on transformer upgrade,NEUTRAL,3,Public Safety,Ward 15
"Road marking done properly, reduces accidents at night",POSITIVE,5,Roads,Ward 46
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Water,Ward 42
New contractor assigned for road repair work,NEUTRAL,3,Education,Ward 9
Power outage scheduled for maintenance work,NEUTRAL,3,Sanitation,Ward 50
Road widening project completed ahead of schedule,POSITIVE,4,Water,Ward 7
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Construction,Ward 49
Public toilet construction tender has been floated,NEUTRAL,3,Parks,Ward 14
The contractor did excellent work on the drainage project,POSITIVE,4,Parks,Ward 3
Construction of new school building underway,NEUTRAL,3,Sanitation,Ward 11
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Water,Ward 20
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Healthcare,Ward 39
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Water,Ward 19
"Park renovation looks beautiful, children love it",POSITIVE,4,Parks,Ward 20
"Bus frequency has increased, commuting is easier",POSITIVE,5,Parks,Ward 24
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Roads,Ward 1
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Transport,Ward 18
Electricity department working on transformer upgrade,NEUTRAL,3,Water,Ward 8
Road marking work will start after monsoon,NEUTRAL,3,Public Safety,Ward 23
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Transport,Ward 18
Survey completed for new drainage line,NEUTRAL,3,Sanitation,Ward 46
New contractor assigned for road repair work,NEUTRAL,3,Water,Ward 19
"Public toilet in horrible condition, very unhygienic",NEGATIVE,1,Transport,Ward 6
Project completion date extended by two months,NEUTRAL,3,Parks,Ward 15
Great improvement in garbage collection frequency,POSITIVE,5,Public Safety,Ward 43
Road widening project expected to complete next month,NEUTRAL,3,Transport,Ward 27
Garbage collection timings have been changed to morning,NEUTRAL,3,Roads,Ward 39
Survey completed for new drainage line,NEUTRAL,3,Parks,Ward 5
Public toilet construction tender has been floated,NEUTRAL,3,Transport,Ward 21
Road dug up for pipeline but not restored for months,NEGATIVE,2,Healthcare,Ward 16
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Transport,Ward 50
Water pipeline replacement work in progress,NEUTRAL,3,Healthcare,Ward 10
"Park facilities broken, children getting hurt",NEGATIVE,1,Roads,Ward 20
"Bus route cancelled without notice, people suffering",NEGATIVE,2,Healthcare,Ward 6
Water pipeline replacement work in progress,NEUTRAL,3,Sanitation,Ward 2
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Public Safety,Ward 40
Environmental clearance received for park project,NEUTRAL,3,Transport,Ward 38
Authorities not responding to any complaints,NEGATIVE,1,Transport,Ward 19
"Road marking done properly, reduces accidents at night",POSITIVE,5,Construction,Ward 5
"No street lights on dark lane, women feel unsafe",NEGATIVE,2,Healthcare,Ward 31
The sanitation team is doing a commendable job,POSITIVE,5,Parks,Ward 27
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Healthcare,Ward 5
The construction work was neat and professional,POSITIVE,5,Roads,Ward 14
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Public Safety,Ward 35
Hospital renovation work started last month,NEUTRAL,3,Roads,Ward 44
New traffic signals have reduced accidents in our area,POSITIVE,4,Healthcare,Ward 42
Road dug up for pipeline but not restored for months,NEGATIVE,1,Water,Ward 19
Power outage scheduled for maintenance work,NEUTRAL,3,Healthcare,Ward 28
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Roads,Ward 1
Environmental clearance received for park project,NEUTRAL,3,Construction,Ward 29
"Complained 10 times about potholes, zero response",NEGATIVE,1,Water,Ward 18
Construction of new school building underway,NEUTRAL,3,Construction,Ward 18
Power outage scheduled for maintenance work,NEUTRAL,3,Construction,Ward 34
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Construction,Ward 13
"Park renovation looks beautiful, children love it",POSITIVE,5,Sanitation,Ward 47
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Construction,Ward 12
Great improvement in garbage collection frequency,POSITIVE,5,Sanitation,Ward 20
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Water,Ward 48
Great improvement in garbage collection frequency,POSITIVE,4,Electricity,Ward 1
"Park renovation looks beautiful, children love it",POSITIVE,5,Sanitation,Ward 39
Electricity department working on transformer upgrade,NEUTRAL,3,Public Safety,Ward 38
"The road repair was completed on time, very happy with the work",POSITIVE,5,Transport,Ward 1
"The road repair was completed on time, very happy with the work",POSITIVE,4,Healthcare,Ward 12
Road dug up for pipeline but not restored for months,NEGATIVE,1,Roads,Ward 30
Road widening project completed ahead of schedule,POSITIVE,5,Public Safety,Ward 27
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Sanitation,Ward 7
Authorities not responding to any complaints,NEGATIVE,1,Transport,Ward 46
The construction work was neat and professional,POSITIVE,4,Roads,Ward 8
"Complained 10 times about potholes, zero response",NEGATIVE,2,Parks,Ward 47
"Bus frequency has increased, commuting is easier",POSITIVE,5,Construction,Ward 14
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Electricity,Ward 7
Road widening project expected to complete next month,NEUTRAL,3,Parks,Ward 46
"Street lights broken since 2 months, no action taken",NEGATIVE,2,Transport,Ward 9
"Bridge cracks visible, no action from authorities",NEGATIVE,2,Education,Ward 46
Project started but no updates for 6 months,NEGATIVE,1,Water,Ward 13
"Contractor used substandard materials, work failing",NEGATIVE,2,Public Safety,Ward 31
"Government hospital has no medicines, pathetic service",NEGATIVE,2,Education,Ward 39
New bus route announcement expected soon,NEUTRAL,3,Healthcare,Ward 23
"Water supply has improved a lot in our area, thank you",POSITIVE,5,Education,Ward 17
New project for park development announced for our ward,NEUTRAL,3,Public Safety,Ward 2
Public toilet construction tender has been floated,NEUTRAL,3,Water,Ward 35
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Education,Ward 16
Great improvement in garbage collection frequency,POSITIVE,5,Healthcare,Ward 3
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Construction,Ward 28
New school building construction is progressing well,POSITIVE,5,Education,Ward 47
